Name,Style,Brewery,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,ABV,Min IBU,Max IBU,number_of_reviews
Andechs Weissbier Dunkel,Wheat Beer - Dunkelweizen,Klosterbrauerei Andechs,18,70,10,31,82,37,0,71,24,46,129,3.772727,3.969697,3.606061,3.787879,3.909091,5.0,10.0,15.0,33
Andechser Bergbock Hell,Bock - Maibock,Klosterbrauerei Andechs,21,50,21,35,67,18,1,21,58,8,97,3.79,3.78,4.01,4.02,4.09,7.0,20.0,38.0,50
Andechser Doppelbock Dunkel,Bock - Doppelbock,Klosterbrauerei Andechs,7,71,20,31,100,21,1,55,31,7,140,4.254355,4.275261,4.362369,4.43554,4.432056,7.1,17.0,27.0,287
Andechser Export Dunkel,Lager - Munich Dunkel,Klosterbrauerei Andechs,18,81,5,41,83,15,0,28,42,11,140,3.794118,3.941176,3.897059,3.911765,4.014706,4.9,15.0,25.0,34
Andechser Spezial Hell,Lager - Helles,Klosterbrauerei Andechs,43,34,6,41,24,14,6,11,75,12,97,3.625,3.791667,3.854167,3.864583,4.0,5.8,18.0,25.0,48
Andromeda Heather Ale,Gruit / Ancient Herbed Ale,Dragonmead Microbrewery,9,9,2,3,15,4,0,7,8,2,21,3.25,3.583333,3.25,3.583333,3.583333,4.6,0.0,0.0,6
Andygator,Bock - Maibock,Abita Brewing Co.,12,30,27,29,58,18,0,18,42,5,65,3.359155,3.598592,3.524648,3.459507,3.478873,8.0,20.0,38.0,284
Anger,IPA - Black / Cascadian Dark Ale,Greenbush Brewing Company,7,45,11,79,29,27,0,25,86,3,61,4.25,4.0,3.9375,4.4375,4.375,7.6,50.0,70.0,8
Angler's Ale,Pale Ale - English,Arcadia Brewing Company,21,44,10,70,41,66,1,66,123,9,88,3.237037,3.540741,3.288889,3.22963,3.377778,5.4,20.0,40.0,135
Angry Angel,Kölsch,Big Boss Brewing,42,44,9,58,36,42,2,43,68,6,56,3.413793,3.465517,3.637931,3.560345,3.853448,4.5,18.0,25.0,58
Angry Goat,Bock - Weizenbock,Rahr & Sons Brewing Company,6,45,20,24,60,18,0,27,14,12,57,3.916667,3.75,3.916667,4.0,3.916667,8.0,15.0,35.0,6
Anna,Farmhouse Ale - Saison,Hill Farmstead Brewery,46,30,3,19,67,110,1,76,55,17,56,4.113208,4.311321,4.075472,4.113208,4.169811,6.4,20.0,38.0,53
Anniversary Ale,Wheat Beer - Wheatwine,Short's Brewing Company,25,52,39,51,76,184,0,165,43,32,48,4.052632,3.970395,3.898026,4.019737,3.845395,10.0,45.0,85.0,152
Anniversary Barley Wine Ale,Barleywine - American,Uinta Brewing Company,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,10.4,60.0,100.0,284
Anubis,Porter - Imperial,Laughing Dog Brewing,13,91,23,92,79,25,0,30,25,8,139,3.833333,4.0,3.5,4.0,3.833333,9.2,35.0,50.0,3
Anvil,Bitter - English Extra Special / Strong Bitter (ESB),AleSmith Brewing Company,12,56,8,54,57,20,3,25,68,3,118,3.774704,3.982213,3.897233,3.911067,4.037549,5.5,20.0,40.0,253
